"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:00.0","6:00.0","1.01","5:57","5:57","129","141","","","","","","","","","","","","","","","5:57","","6:00.0","5:57","",""
"2","5:54.0","11:54.0","1.01","5:51","5:51","143","148","","","","","","","","","","","","","","","5:51","","5:54.0","5:51","",""
"3","5:55.0","17:49.0","1.00","5:56","5:56","146","150","","","","","","","","","","","","","","","5:56","","5:55.0","5:56","",""
"4","5:52.0","23:41.0","0.99","5:54","5:54","149","152","","","","","","","","","","","","","","","5:54","","5:52.0","5:54","",""
"5","5:54.0","29:35.0","1.00","5:55","5:55","152","156","","","","","","","","","","","","","","","5:55","","5:54.0","5:55","",""
"6","6:00.0","35:35.0","1.01","5:58","5:58","154","157","","","","","","","","","","","","","","","5:58","","6:00.0","5:58","",""
"7","5:57.0","41:32.0","0.99","5:59","5:59","157","160","","","","","","","","","","","","","","","5:59","","5:57.0","5:59","",""
"8","5:59.0","47:31.0","1.00","5:58","5:58","157","161","","","","","","","","","","","","","","","5:58","","5:59.0","5:58","",""
"9","6:03.0","53:34.0","1.00","6:01","6:01","159","162","","","","","","","","","","","","","","","6:01","","6:03.0","6:01","",""
"10","6:02.0","59:36.0","1.00","6:03","6:03","160","164","","","","","","","","","","","","","","","6:03","","6:02.0","6:03","",""
"11","0:05.0","59:41.0","0.01","7:56","7:56","156","157","","","","","","","","","","","","","","","7:56","","0:05.0","7:56","",""
"统计","60:04.0","60:04.0","10.01","6:00","6:00","151","164","","","","","","","","","","","","","546","","6:00","","60:04.0","6:00","--","--"
