"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","7:07.0","7:07.0","1.00","7:04","7:04","124","138","","","","","","","","","","","","","","","7:04","","7:07.0","7:04","",""
"2","6:05.0","13:12.0","1.00","6:05","6:05","156","164","","","","","","","","","","","","","","","6:05","","6:05.0","6:05","",""
"3","6:00.0","19:12.0","1.00","6:01","6:01","165","169","","","","","","","","","","","","","","","6:01","","6:00.0","6:01","",""
"4","5:54.0","25:06.0","1.00","5:55","5:55","167","171","","","","","","","","","","","","","","","5:55","","5:54.0","5:55","",""
"5","5:54.0","31:00.0","1.00","5:53","5:53","171","174","","","","","","","","","","","","","","","5:53","","5:54.0","5:53","",""
"6","5:46.0","36:46.0","1.00","5:45","5:45","175","178","","","","","","","","","","","","","","","5:45","","5:46.0","5:45","",""
"7","5:47.0","42:33.0","0.99","5:48","5:48","178","183","","","","","","","","","","","","","","","5:48","","5:47.0","5:48","",""
"8","5:46.0","48:19.0","1.00","5:47","5:47","182","184","","","","","","","","","","","","","","","5:47","","5:46.0","5:47","",""
"9","4:16.0","52:35.0","0.71","6:00","6:00","183","186","","","","","","","","","","","","","","","6:00","","4:16.0","6:00","",""
"统计","52:52.0","52:52.0","11.03","4:47","4:47","165","186","","","","","","","","","","","","","602","","4:47","","52:52.0","4:47","--","--"
