"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:03.0","5:03.0","1.00","5:02","5:02","109","158","2","8","","","","","","","","","","","","","5:02","","5:03.0","5:02","",""
"2","5:54.0","10:57.0","1.00","5:55","5:55","85","101","4","4","","","","","","","","","","","","","5:55","","5:54.0","5:55","",""
"3","4:35.0","15:32.0","1.00","4:35","4:35","86","97","3","2","","","","","","","","","","","","","4:35","","4:35.0","4:35","",""
"4","4:11.0","19:43.0","1.00","4:12","4:12","87","97","1","2","","","","","","","","","","","","","4:12","","4:11.0","4:12","",""
"5","5:45.0","25:28.0","1.00","5:45","5:45","86","97","3","3","","","","","","","","","","","","","5:45","","5:45.0","5:45","",""
"6","6:26.0","31:54.0","1.00","6:27","6:27","83","101","8","4","","","","","","","","","","","","","6:27","","6:26.0","6:27","",""
"7","4:16.0","36:10.0","0.33","13:05","13:05","82","98","3","5","","","","","","","","","","","","","13:05","","4:16.0","13:05","",""
"统计","36:16.0","36:16.0","6.34","5:43","5:43","89","158","12.4","","","","","","","","","","","","82","","5:43","","36:16.0","5:43","--","--"
