"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:48.0","6:48.0","1.00","6:46","6:46","118","131","","","","","","","","","","","","","","","6:46","","6:48.0","6:46","",""
"2","6:35.0","13:23.0","1.00","6:36","6:36","132","137","","","","","","","","","","","","","","","6:36","","6:35.0","6:36","",""
"3","6:39.0","20:02.0","1.00","6:38","6:38","142","149","","","","","","","","","","","","","","","6:38","","6:39.0","6:38","",""
"4","6:30.0","26:32.0","1.00","6:31","6:31","150","156","","","","","","","","","","","","","","","6:31","","6:30.0","6:31","",""
"5","6:20.0","32:52.0","1.00","6:20","6:20","158","164","","","","","","","","","","","","","","","6:20","","6:20.0","6:20","",""
"6","6:07.0","38:59.0","1.00","6:06","6:06","165","170","","","","","","","","","","","","","","","6:06","","6:07.0","6:06","",""
"7","5:52.0","44:51.0","0.99","5:54","5:54","173","176","","","","","","","","","","","","","","","5:54","","5:52.0","5:54","",""
"8","5:44.0","50:35.0","1.00","5:44","5:44","180","185","","","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"9","3:22.0","53:57.0","0.56","5:58","5:58","184","186","","","","","","","","","","","","","","","5:58","","3:22.0","5:58","",""
"统计","54:16.0","54:16.0","10.04","5:24","5:24","153","186","","","","","","","","","","","","","552","","5:24","","54:16.0","5:24","--","--"
