"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:44.0","5:44.0","1.00","5:44","5:44","125","144","","","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"2","5:55.0","11:39.0","1.00","5:55","5:55","131","136","","","","","","","","","","","","","","","5:55","","5:55.0","5:55","",""
"3","5:44.0","17:23.0","1.00","5:44","5:44","135","140","","","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"4","6:09.0","23:32.0","1.00","6:09","6:09","155","180","","","","","","","","","","","","","","","6:09","","6:09.0","6:09","",""
"5","6:33.0","30:05.0","1.00","6:33","6:33","144","149","","","","","","","","","","","","","","","6:33","","6:33.0","6:33","",""
"6","6:10.0","36:15.0","1.00","6:10","6:10","146","150","","","","","","","","","","","","","","","6:10","","6:10.0","6:10","",""
"7","6:22.0","42:37.0","1.00","6:22","6:22","158","182","","","","","","","","","","","","","","","6:22","","6:22.0","6:22","",""
"8","6:20.0","48:57.0","1.00","6:20","6:20","141","147","","","","","","","","","","","","","","","6:20","","6:20.0","6:20","",""
"9","0:49.0","49:46.0","0.14","5:55","5:55","145","146","","","","","","","","","","","","","","","5:55","","0:49.0","5:55","",""
"统计","49:54.0","49:54.0","8.15","6:07","6:07","142","182","","","","","","","","","","","","","431","","6:07","","49:54.0","6:07","--","--"
