"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:38.0","5:38.0","1.00","5:38","5:38","130","142","","","","","","","","","","","","","","","5:38","","5:38.0","5:38","",""
"2","5:31.0","11:09.0","1.00","5:31","5:31","144","149","","","","","","","","","","","","","","","5:31","","5:31.0","5:31","",""
"3","5:40.0","16:49.0","1.00","5:40","5:40","146","151","","","","","","","","","","","","","","","5:40","","5:40.0","5:40","",""
"4","5:58.0","22:47.0","1.00","5:58","5:58","147","152","","","","","","","","","","","","","","","5:58","","5:58.0","5:58","",""
"5","5:58.0","28:45.0","1.00","5:58","5:58","147","150","","","","","","","","","","","","","","","5:58","","5:58.0","5:58","",""
"6","5:58.0","34:43.0","1.00","5:58","5:58","149","154","","","","","","","","","","","","","","","5:58","","5:58.0","5:58","",""
"7","5:57.0","40:40.0","1.00","5:58","5:58","151","155","","","","","","","","","","","","","","","5:58","","5:57.0","5:58","",""
"8","5:50.0","46:30.0","1.00","5:50","5:50","151","155","","","","","","","","","","","","","","","5:50","","5:50.0","5:50","",""
"9","6:01.0","52:31.0","0.99","6:03","6:03","153","157","","","","","","","","","","","","","","","6:03","","6:01.0","6:03","",""
"统计","52:39.0","52:39.0","9.01","5:50","5:50","147","157","","","","","","","","","","","","","488","","5:50","","52:39.0","5:50","--","--"
