"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:39.0","5:39.0","1.00","5:39","5:39","135","151","7","4","","","","","","","","","","","","","5:39","","5:39.0","5:39","",""
"2","0:43.0","6:22.0","0.13","5:20","5:20","150","152","1","","","","","","","","","","","","","","5:20","","0:43.0","5:20","",""
"统计","6:23.0","6:23.0","1.14","5:36","5:36","138","152","3.0","","","","","","","","","","","","65","","5:36","","6:23.0","5:36","--","--"
