"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:12.0","6:12.0","1.01","6:09","6:09","117","130","","","","","","","","","","","","","","","6:09","","6:12.0","6:09","",""
"2","5:16.0","11:28.0","1.00","5:16","5:16","126","130","","","","","","","","","","","","","","","5:16","","5:16.0","5:16","",""
"3","5:21.0","16:49.0","0.99","5:22","5:22","126","132","","","","","","","","","","","","","","","5:22","","5:21.0","5:22","",""
"4","5:26.0","22:15.0","1.00","5:25","5:25","130","135","","","","","","","","","","","","","","","5:25","","5:26.0","5:25","",""
"5","5:19.0","27:34.0","1.00","5:17","5:17","130","134","","","","","","","","","","","","","","","5:17","","5:19.0","5:17","",""
"6","5:18.0","32:52.0","1.00","5:16","5:16","130","135","","","","","","","","","","","","","","","5:16","","5:18.0","5:16","",""
"7","5:26.0","38:18.0","1.00","5:26","5:26","130","135","","","","","","","","","","","","","","","5:26","","5:26.0","5:26","",""
"8","5:29.0","43:47.0","1.00","5:29","5:29","131","136","","","","","","","","","","","","","","","5:29","","5:29.0","5:29","",""
"9","5:33.0","49:20.0","1.01","5:31","5:31","132","137","","","","","","","","","","","","","","","5:31","","5:33.0","5:31","",""
"10","5:40.0","55:00.0","1.00","5:41","5:41","133","138","","","","","","","","","","","","","","","5:41","","5:40.0","5:41","",""
"11","5:32.0","60:32.0","1.00","5:32","5:32","140","164","","","","","","","","","","","","","","","5:32","","5:32.0","5:32","",""
"12","5:33.0","66:05.0","0.87","6:24","6:24","162","183","","","","","","","","","","","","","","","6:24","","5:33.0","6:24","",""
"统计","66:27.0","66:27.0","10.21","6:30","6:30","132","183","","","","","","","","","","","","","681","","6:30","","66:27.0","6:30","--","--"
