"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:20.0","6:20.0","1.00","6:19","6:19","123","134","7","11","","","","","","","","","","","","","6:19","","6:20.0","6:19","",""
"2","6:12.0","12:32.0","1.00","6:12","6:12","136","143","2","4","","","","","","","","","","","","","6:12","","6:12.0","6:12","",""
"3","6:11.0","18:43.0","1.00","6:12","6:12","141","146","1","2","","","","","","","","","","","","","6:12","","6:11.0","6:12","",""
"4","6:24.0","25:07.0","1.00","6:24","6:24","142","146","5","5","","","","","","","","","","","","","6:24","","6:24.0","6:24","",""
"5","6:15.0","31:22.0","1.00","6:15","6:15","141","146","1","3","","","","","","","","","","","","","6:15","","6:15.0","6:15","",""
"6","6:21.0","37:43.0","1.00","6:21","6:21","141","146","2","1","","","","","","","","","","","","","6:21","","6:21.0","6:21","",""
"7","6:21.0","44:04.0","1.00","6:21","6:21","140","145","1","1","","","","","","","","","","","","","6:21","","6:21.0","6:21","",""
"8","6:23.0","50:27.0","1.00","6:22","6:22","140","144","3","3","","","","","","","","","","","","","6:22","","6:23.0","6:22","",""
"9","6:14.0","56:41.0","1.00","6:14","6:14","141","147","2","1","","","","","","","","","","","","","6:14","","6:14.0","6:14","",""
"10","6:15.0","62:56.0","1.00","6:15","6:15","144","148","2","3","","","","","","","","","","","","","6:15","","6:15.0","6:15","",""
"11","6:10.0","69:06.0","1.00","6:10","6:10","143","149","1","1","","","","","","","","","","","","","6:10","","6:10.0","6:10","",""
"12","6:13.0","75:19.0","1.00","6:13","6:13","144","149","1","1","","","","","","","","","","","","","6:13","","6:13.0","6:13","",""
"13","6:11.0","81:30.0","1.00","6:11","6:11","147","152","3","3","","","","","","","","","","","","","6:11","","6:11.0","6:11","",""
"14","6:19.0","87:49.0","1.00","6:19","6:19","147","150","1","1","","","","","","","","","","","","","6:19","","6:19.0","6:19","",""
"15","6:02.0","93:51.0","1.00","6:02","6:02","149","154","1","2","","","","","","","","","","","","","6:02","","6:02.0","6:02","",""
"16","6:08.0","99:59.0","1.00","6:08","6:08","154","162","8","1","","","","","","","","","","","","","6:08","","6:08.0","6:08","",""
"17","0:05.0","100:04.0","0.01","12:49","12:49","161","162","","2","","","","","","","","","","","","","12:49","","0:05.0","12:49","",""
"统计","100:20.0","100:20.0","16.04","6:15","6:15","142","162","24.8","","","","","","","","","","","","905","","6:15","","100:20.0","6:15","--","--"
