"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:21.0","6:21.0","1.00","6:20","6:20","132","159","10","11","","","","","","","","","","","","","6:20","","6:21.0","6:20","",""
"2","5:59.0","12:20.0","1.00","5:59","5:59","140","147","1","11","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"3","6:21.0","18:41.0","1.00","6:21","6:21","145","151","9","4","","","","","","","","","","","","","6:21","","6:21.0","6:21","",""
"4","6:11.0","24:52.0","1.00","6:11","6:11","144","150","2","13","","","","","","","","","","","","","6:11","","6:11.0","6:11","",""
"5","6:17.0","31:09.0","1.00","6:17","6:17","149","154","5","6","","","","","","","","","","","","","6:17","","6:17.0","6:17","",""
"6","6:11.0","37:20.0","1.00","6:11","6:11","153","157","6","5","","","","","","","","","","","","","6:11","","6:11.0","6:11","",""
"7","6:07.0","43:27.0","1.00","6:07","6:07","157","161","7","4","","","","","","","","","","","","","6:07","","6:07.0","6:07","",""
"8","6:05.0","49:32.0","1.00","6:06","6:06","160","164","3","6","","","","","","","","","","","","","6:06","","6:05.0","6:06","",""
"9","6:09.0","55:41.0","1.00","6:10","6:10","165","170","5","4","","","","","","","","","","","","","6:10","","6:09.0","6:10","",""
"10","6:03.0","61:44.0","1.00","6:03","6:03","168","172","4","6","","","","","","","","","","","","","6:03","","6:03.0","6:03","",""
"11","6:08.0","67:52.0","1.00","6:08","6:08","170","173","4","4","","","","","","","","","","","","","6:08","","6:08.0","6:08","",""
"12","6:02.0","73:54.0","1.00","6:02","6:02","170","174","6","6","","","","","","","","","","","","","6:02","","6:02.0","6:02","",""
"13","5:59.0","79:53.0","1.00","5:59","5:59","170","173","6","6","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"14","6:07.0","86:00.0","1.00","6:07","6:07","171","175","6","4","","","","","","","","","","","","","6:07","","6:07.0","6:07","",""
"15","6:06.0","92:06.0","1.00","6:06","6:06","173","177","5","4","","","","","","","","","","","","","6:06","","6:06.0","6:06","",""
"16","2:54.0","95:00.0","0.49","5:56","5:56","173","181","6","1","","","","","","","","","","","","","5:56","","2:54.0","5:56","",""
"统计","95:15.0","95:15.0","15.51","6:08","6:08","158","181","29.0","","","","","","","","","","","","994","","6:08","","95:15.0","6:08","--","--"
