"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:18.0","6:18.0","1.01","6:16","6:16","124","136","","","","","","","","","","","","","","","6:16","","6:18.0","6:16","",""
"2","6:15.0","12:33.0","1.00","6:15","6:15","138","142","","","","","","","","","","","","","","","6:15","","6:15.0","6:15","",""
"3","6:11.0","18:44.0","1.00","6:09","6:09","142","145","","","","","","","","","","","","","","","6:09","","6:11.0","6:09","",""
"4","6:12.0","24:56.0","1.00","6:11","6:11","144","148","","","","","","","","","","","","","","","6:11","","6:12.0","6:11","",""
"5","6:02.0","30:58.0","1.00","6:03","6:03","148","152","","","","","","","","","","","","","","","6:03","","6:02.0","6:03","",""
"6","5:54.0","36:52.0","0.99","5:55","5:55","150","154","","","","","","","","","","","","","","","5:55","","5:54.0","5:55","",""
"7","6:05.0","42:57.0","1.00","6:05","6:05","152","156","","","","","","","","","","","","","","","6:05","","6:05.0","6:05","",""
"8","6:03.0","49:00.0","1.00","6:04","6:04","155","159","","","","","","","","","","","","","","","6:04","","6:03.0","6:04","",""
"9","6:12.0","55:12.0","1.00","6:12","6:12","156","159","","","","","","","","","","","","","","","6:12","","6:12.0","6:12","",""
"10","4:23.0","59:35.0","0.70","6:18","6:18","156","158","","","","","","","","","","","","","","","6:18","","4:23.0","6:18","",""
"统计","59:53.0","59:53.0","10.02","5:58","5:58","146","159","","","","","","","","","","","","","539","","5:58","","59:53.0","5:58","--","--"
