"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:46.0","6:46.0","1.00","6:44","6:44","118","125","","","","","","","","","","","","","","","6:44","","6:46.0","6:44","",""
"2","6:39.0","13:25.0","1.01","6:36","6:36","123","127","","","","","","","","","","","","","","","6:36","","6:39.0","6:36","",""
"3","6:33.0","19:58.0","1.00","6:33","6:33","130","137","","","","","","","","","","","","","","","6:33","","6:33.0","6:33","",""
"4","6:24.0","26:22.0","1.00","6:23","6:23","139","146","","","","","","","","","","","","","","","6:23","","6:24.0","6:23","",""
"5","6:15.0","32:37.0","1.00","6:15","6:15","148","156","","","","","","","","","","","","","","","6:15","","6:15.0","6:15","",""
"6","5:58.0","38:35.0","1.00","5:59","5:59","155","163","","","","","","","","","","","","","","","5:59","","5:58.0","5:59","",""
"7","5:47.0","44:22.0","1.00","5:47","5:47","164","168","","","","","","","","","","","","","","","5:47","","5:47.0","5:47","",""
"8","5:41.0","50:03.0","1.00","5:40","5:40","172","177","","","","","","","","","","","","","","","5:40","","5:41.0","5:40","",""
"9","5:24.0","55:27.0","1.00","5:24","5:24","182","189","","","","","","","","","","","","","","","5:24","","5:24.0","5:24","",""
"10","2:51.0","58:18.0","0.23","12:22","12:22","160","192","","","","","","","","","","","","","","","12:22","","2:51.0","12:22","",""
"统计","58:36.0","58:36.0","10.21","5:44","5:44","147","192","","","","","","","","","","","","","570","","5:44","","58:36.0","5:44","--","--"
