"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:36.0","6:36.0","1.00","6:34","6:34","125","135","","","","","","","","","","","","","","","6:34","","6:36.0","6:34","",""
"2","6:25.0","13:01.0","1.00","6:26","6:26","137","140","","","","","","","","","","","","","","","6:26","","6:25.0","6:26","",""
"3","6:28.0","19:29.0","0.99","6:30","6:30","144","151","","","","","","","","","","","","","","","6:30","","6:28.0","6:30","",""
"4","6:20.0","25:49.0","0.99","6:22","6:22","151","158","","","","","","","","","","","","","","","6:22","","6:20.0","6:22","",""
"5","6:12.0","32:01.0","1.00","6:11","6:11","161","167","","","","","","","","","","","","","","","6:11","","6:12.0","6:11","",""
"6","6:02.0","38:03.0","1.00","6:02","6:02","168","173","","","","","","","","","","","","","","","6:02","","6:02.0","6:02","",""
"7","5:47.0","43:50.0","0.99","5:49","5:49","176","181","","","","","","","","","","","","","","","5:49","","5:47.0","5:49","",""
"8","5:37.0","49:27.0","1.00","5:38","5:38","184","188","","","","","","","","","","","","","","","5:38","","5:37.0","5:38","",""
"9","4:03.0","53:30.0","0.71","5:39","5:39","189","192","","","","","","","","","","","","","","","5:39","","4:03.0","5:39","",""
"统计","53:47.0","53:47.0","10.01","5:22","5:22","158","192","","","","","","","","","","","","","585","","5:22","","53:47.0","5:22","--","--"
