"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:50.0","5:50.0","1.00","5:50","5:50","156","173","9","17","","","","","","","","","","","","","5:50","","5:50.0","5:50","",""
"2","5:51.0","11:41.0","1.00","5:51","5:51","148","158","8","4","","","","","","","","","","","","","5:51","","5:51.0","5:51","",""
"3","5:49.0","17:30.0","1.00","5:49","5:49","150","159","5","12","","","","","","","","","","","","","5:49","","5:49.0","5:49","",""
"4","5:39.0","23:09.0","1.00","5:39","5:39","152","158","3","13","","","","","","","","","","","","","5:39","","5:39.0","5:39","",""
"5","5:44.0","28:53.0","1.00","5:44","5:44","153","159","5","7","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"6","5:23.0","34:16.0","1.00","5:23","5:23","160","166","6","7","","","","","","","","","","","","","5:23","","5:23.0","5:23","",""
"7","5:25.0","39:41.0","1.00","5:25","5:25","163","170","6","4","","","","","","","","","","","","","5:25","","5:25.0","5:25","",""
"8","5:07.0","44:48.0","1.00","5:07","5:07","165","173","5","5","","","","","","","","","","","","","5:07","","5:07.0","5:07","",""
"9","5:03.0","49:51.0","1.00","5:03","5:03","170","174","4","6","","","","","","","","","","","","","5:03","","5:03.0","5:03","",""
"10","4:52.0","54:43.0","1.00","4:52","4:52","174","181","4","5","","","","","","","","","","","","","4:52","","4:52.0","4:52","",""
"11","1:28.0","56:11.0","0.31","4:45","4:45","181","187","5","","","","","","","","","","","","","","4:45","","1:28.0","4:45","",""
"统计","56:21.0","56:21.0","10.33","5:27","5:27","159","187","25.0","","","","","","","","","","","","629","","5:27","","56:21.0","5:27","--","--"
