"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","7:07.0","7:07.0","1.00","7:06","7:06","124","141","16","8","","","","","","","","","","","","","7:06","","7:07.0","7:06","",""
"2","6:28.0","13:35.0","1.00","6:29","6:29","144","150","7","11","","","","","","","","","","","","","6:29","","6:28.0","6:29","",""
"3","6:45.0","20:20.0","1.00","6:45","6:45","149","159","12","9","","","","","","","","","","","","","6:45","","6:45.0","6:45","",""
"4","6:28.0","26:48.0","1.00","6:28","6:28","151","157","6","9","","","","","","","","","","","","","6:28","","6:28.0","6:28","",""
"5","6:20.0","33:08.0","1.00","6:20","6:20","153","156","11","9","","","","","","","","","","","","","6:20","","6:20.0","6:20","",""
"6","6:30.0","39:38.0","1.00","6:30","6:30","155","162","10","9","","","","","","","","","","","","","6:30","","6:30.0","6:30","",""
"7","6:25.0","46:03.0","1.00","6:25","6:25","156","159","11","10","","","","","","","","","","","","","6:25","","6:25.0","6:25","",""
"8","6:16.0","52:19.0","1.00","6:15","6:15","156","160","5","7","","","","","","","","","","","","","6:15","","6:16.0","6:15","",""
"9","6:13.0","58:32.0","1.00","6:13","6:13","160","164","6","5","","","","","","","","","","","","","6:13","","6:13.0","6:13","",""
"10","6:20.0","64:52.0","1.00","6:21","6:21","159","163","6","6","","","","","","","","","","","","","6:21","","6:20.0","6:21","",""
"11","6:28.0","71:20.0","1.00","6:29","6:29","157","160","6","8","","","","","","","","","","","","","6:29","","6:28.0","6:29","",""
"12","6:13.0","77:33.0","1.00","6:13","6:13","159","163","7","6","","","","","","","","","","","","","6:13","","6:13.0","6:13","",""
"13","6:11.0","83:44.0","1.00","6:11","6:11","164","167","5","12","","","","","","","","","","","","","6:11","","6:11.0","6:11","",""
"14","6:08.0","89:52.0","1.00","6:08","6:08","167","172","8","7","","","","","","","","","","","","","6:08","","6:08.0","6:08","",""
"15","6:27.0","96:19.0","1.00","6:27","6:27","169","172","15","14","","","","","","","","","","","","","6:27","","6:27.0","6:27","",""
"16","0:03.0","96:22.0","0.00","25:00","25:00","169","169","","","","","","","","","","","","","","","25:00","","0:03.0","25:00","",""
"统计","96:37.0","96:37.0","15.01","6:26","6:26","155","172","83.0","","","","","","","","","","","","913","","6:26","","96:37.0","6:26","--","--"
