"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:38.0","6:38.0","1.00","6:37","6:37","148","181","7","10","","","","","","","","","","","","","6:37","","6:38.0","6:37","",""
"2","6:29.0","13:07.0","1.00","6:29","6:29","131","137","2","3","","","","","","","","","","","","","6:29","","6:29.0","6:29","",""
"3","6:31.0","19:38.0","1.00","6:31","6:31","132","138","1","5","","","","","","","","","","","","","6:31","","6:31.0","6:31","",""
"4","6:46.0","26:24.0","1.00","6:47","6:47","132","139","6","5","","","","","","","","","","","","","6:47","","6:46.0","6:47","",""
"5","6:54.0","33:18.0","1.00","6:53","6:53","131","135","1","3","","","","","","","","","","","","","6:53","","6:54.0","6:53","",""
"6","6:32.0","39:50.0","1.00","6:32","6:32","133","137","2","1","","","","","","","","","","","","","6:32","","6:32.0","6:32","",""
"7","6:37.0","46:27.0","1.00","6:37","6:37","134","140","1","1","","","","","","","","","","","","","6:37","","6:37.0","6:37","",""
"8","6:33.0","53:00.0","1.00","6:32","6:32","135","141","3","3","","","","","","","","","","","","","6:32","","6:33.0","6:32","",""
"9","6:29.0","59:29.0","1.00","6:29","6:29","135","141","2","2","","","","","","","","","","","","","6:29","","6:29.0","6:29","",""
"10","6:34.0","66:03.0","1.00","6:34","6:34","135","139","1","3","","","","","","","","","","","","","6:34","","6:34.0","6:34","",""
"11","6:33.0","72:36.0","1.00","6:33","6:33","136","141","2","1","","","","","","","","","","","","","6:33","","6:33.0","6:33","",""
"12","1:24.0","74:00.0","0.21","6:40","6:40","142","145","5","2","","","","","","","","","","","","","6:40","","1:24.0","6:40","",""
"统计","74:11.0","74:11.0","11.23","6:36","6:36","135","181","24.0","","","","","","","","","","","","604","","6:36","","74:11.0","6:36","--","--"
