"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:51.0","6:51.0","1.00","6:50","6:50","120","134","9","15","","","","","","","","","","","","","6:50","","6:51.0","6:50","",""
"2","6:34.0","13:25.0","1.00","6:34","6:34","133","140","12","12","","","","","","","","","","","","","6:34","","6:34.0","6:34","",""
"3","6:34.0","19:59.0","1.00","6:34","6:34","135","139","5","9","","","","","","","","","","","","","6:34","","6:34.0","6:34","",""
"4","6:45.0","26:44.0","1.00","6:45","6:45","137","143","15","10","","","","","","","","","","","","","6:45","","6:45.0","6:45","",""
"5","6:20.0","33:04.0","1.00","6:20","6:20","138","143","7","10","","","","","","","","","","","","","6:20","","6:20.0","6:20","",""
"6","6:23.0","39:27.0","1.00","6:24","6:24","138","145","12","14","","","","","","","","","","","","","6:24","","6:23.0","6:24","",""
"7","6:25.0","45:52.0","1.00","6:25","6:25","140","144","8","9","","","","","","","","","","","","","6:25","","6:25.0","6:25","",""
"8","6:25.0","52:17.0","1.00","6:25","6:25","141","144","10","10","","","","","","","","","","","","","6:25","","6:25.0","6:25","",""
"9","6:20.0","58:37.0","1.00","6:20","6:20","144","148","14","8","","","","","","","","","","","","","6:20","","6:20.0","6:20","",""
"10","6:16.0","64:53.0","1.00","6:16","6:16","143","146","10","12","","","","","","","","","","","","","6:16","","6:16.0","6:16","",""
"11","6:03.0","70:56.0","1.00","6:02","6:02","146","152","12","14","","","","","","","","","","","","","6:02","","6:03.0","6:02","",""
"12","6:04.0","77:00.0","1.00","6:05","6:05","148","152","9","9","","","","","","","","","","","","","6:05","","6:04.0","6:05","",""
"13","6:00.0","83:00.0","1.00","6:00","6:00","152","159","12","12","","","","","","","","","","","","","6:00","","6:00.0","6:00","",""
"14","5:55.0","88:55.0","1.00","5:56","5:56","154","159","10","8","","","","","","","","","","","","","5:56","","5:55.0","5:56","",""
"15","5:59.0","94:54.0","1.00","5:59","5:59","155","159","10","13","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"16","6:01.0","100:55.0","1.00","6:01","6:01","158","161","14","13","","","","","","","","","","","","","6:01","","6:01.0","6:01","",""
"17","0:20.0","101:15.0","0.05","6:45","6:45","157","159","","","","","","","","","","","","","","","6:45","","0:20.0","6:45","",""
"统计","101:31.0","101:31.0","16.08","6:18","6:18","142","161","122.4","","","","","","","","","","","","856","","6:18","","101:31.0","6:18","--","--"
