"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:22.0","5:22.0","1.00","5:20","5:20","118","128","","","","","","","","","","","","","","","5:20","","5:22.0","5:20","",""
"2","6:17.0","11:39.0","1.00","6:17","6:17","121","150","","","","","","","","","","","","","","","6:17","","6:17.0","6:17","",""
"3","4:40.0","16:19.0","1.00","4:40","4:40","156","163","","","","","","","","","","","","","","","4:40","","4:40.0","4:40","",""
"4","4:36.0","20:55.0","1.00","4:36","4:36","164","168","","","","","","","","","","","","","","","4:36","","4:36.0","4:36","",""
"5","4:29.0","25:24.0","1.00","4:29","4:29","168","171","","","","","","","","","","","","","","","4:29","","4:29.0","4:29","",""
"6","4:30.0","29:54.0","1.00","4:30","4:30","171","173","","","","","","","","","","","","","","","4:30","","4:30.0","4:30","",""
"7","4:19.0","34:13.0","1.00","4:19","4:19","174","177","","","","","","","","","","","","","","","4:19","","4:19.0","4:19","",""
"8","4:32.0","38:45.0","1.00","4:32","4:32","178","182","","","","","","","","","","","","","","","4:32","","4:32.0","4:32","",""
"9","4:25.0","43:10.0","1.00","4:25","4:25","180","184","","","","","","","","","","","","","","","4:25","","4:25.0","4:25","",""
"10","4:27.0","47:37.0","1.00","4:27","4:27","184","185","","","","","","","","","","","","","","","4:27","","4:27.0","4:27","",""
"11","4:36.0","52:13.0","1.00","4:36","4:36","185","187","","","","","","","","","","","","","","","4:36","","4:36.0","4:36","",""
"12","5:13.0","57:26.0","0.86","6:04","6:04","176","188","","","","","","","","","","","","","","","6:04","","5:13.0","6:04","",""
"统计","57:37.0","57:37.0","11.88","4:50","4:50","163","188","","","","","","","","","","","","","651","","4:50","","57:37.0","4:50","--","--"
