"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:51.0","6:51.0","1.00","6:48","6:48","120","134","","","","","","","","","","","","","","","6:48","","6:51.0","6:48","",""
"2","6:38.0","13:29.0","1.00","6:39","6:39","135","140","","","","","","","","","","","","","","","6:39","","6:38.0","6:39","",""
"3","6:35.0","20:04.0","1.00","6:35","6:35","140","147","","","","","","","","","","","","","","","6:35","","6:35.0","6:35","",""
"4","6:40.0","26:44.0","1.00","6:39","6:39","144","152","","","","","","","","","","","","","","","6:39","","6:40.0","6:39","",""
"5","6:34.0","33:18.0","1.00","6:32","6:32","149","154","","","","","","","","","","","","","","","6:32","","6:34.0","6:32","",""
"6","6:35.0","39:53.0","1.00","6:35","6:35","151","156","","","","","","","","","","","","","","","6:35","","6:35.0","6:35","",""
"7","6:40.0","46:33.0","1.00","6:40","6:40","153","157","","","","","","","","","","","","","","","6:40","","6:40.0","6:40","",""
"8","6:47.0","53:20.0","1.00","6:45","6:45","155","158","","","","","","","","","","","","","","","6:45","","6:47.0","6:45","",""
"9","2:54.0","56:14.0","0.42","6:54","6:54","152","156","","","","","","","","","","","","","","","6:54","","2:54.0","6:54","",""
"统计","56:33.0","56:33.0","9.47","5:58","5:58","144","158","","","","","","","","","","","","","544","","5:58","","56:33.0","5:58","--","--"
