"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:08.0","6:08.0","1.01","6:06","6:06","116","128","","","","","","","","","","","","","","","6:06","","6:08.0","6:06","",""
"2","5:59.0","12:07.0","1.00","5:59","5:59","127","132","","","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"3","6:13.0","18:20.0","1.01","6:11","6:11","130","134","","","","","","","","","","","","","","","6:11","","6:13.0","6:11","",""
"4","6:07.0","24:27.0","1.00","6:08","6:08","132","139","","","","","","","","","","","","","","","6:08","","6:07.0","6:08","",""
"5","6:14.0","30:41.0","1.01","6:11","6:11","134","138","","","","","","","","","","","","","","","6:11","","6:14.0","6:11","",""
"6","4:31.0","35:12.0","0.52","8:37","8:37","127","139","","","","","","","","","","","","","","","8:37","","4:31.0","8:37","",""
"统计","35:22.0","35:22.0","5.14","6:52","6:52","128","139","","","","","","","","","","","","","271","","6:52","","35:22.0","6:52","--","--"
