"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:52.0","6:52.0","1.00","6:50","6:50","125","138","","","","","","","","","","","","","","","6:50","","6:52.0","6:50","",""
"2","6:53.0","13:45.0","1.00","6:54","6:54","141","167","","","","","","","","","","","","","","","6:54","","6:53.0","6:54","",""
"3","5:47.0","19:32.0","0.99","5:49","5:49","173","179","","","","","","","","","","","","","","","5:49","","5:47.0","5:49","",""
"4","5:34.0","25:06.0","1.00","5:34","5:34","181","185","","","","","","","","","","","","","","","5:34","","5:34.0","5:34","",""
"5","8:19.0","33:25.0","0.99","8:22","8:22","153","185","","","","","","","","","","","","","","","8:22","","8:19.0","8:22","",""
"6","2:06.0","35:31.0","0.22","9:36","9:36","169","183","","","","","","","","","","","","","","","9:36","","2:06.0","9:36","",""
"统计","35:45.0","35:45.0","6.22","5:44","5:44","154","185","","","","","","","","","","","","","367","","5:44","","35:45.0","5:44","--","--"
