"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:40.0","5:40.0","1.00","5:39","5:39","154","171","8","18","","","","","","","","","","","","","5:39","","5:40.0","5:39","",""
"2","5:46.0","11:26.0","1.00","5:47","5:47","140","151","8","5","","","","","","","","","","","","","5:47","","5:46.0","5:47","",""
"3","5:41.0","17:07.0","1.00","5:41","5:41","146","153","6","12","","","","","","","","","","","","","5:41","","5:41.0","5:41","",""
"4","5:33.0","22:40.0","1.00","5:33","5:33","147","153","3","13","","","","","","","","","","","","","5:33","","5:33.0","5:33","",""
"5","5:28.0","28:08.0","1.00","5:28","5:28","151","157","4","7","","","","","","","","","","","","","5:28","","5:28.0","5:28","",""
"6","5:18.0","33:26.0","1.00","5:18","5:18","158","161","5","5","","","","","","","","","","","","","5:18","","5:18.0","5:18","",""
"7","5:11.0","38:37.0","1.00","5:11","5:11","161","166","6","6","","","","","","","","","","","","","5:11","","5:11.0","5:11","",""
"8","5:13.0","43:50.0","1.00","5:13","5:13","161","166","6","7","","","","","","","","","","","","","5:13","","5:13.0","5:13","",""
"9","5:10.0","49:00.0","1.00","5:10","5:10","164","167","6","7","","","","","","","","","","","","","5:10","","5:10.0","5:10","",""
"10","5:02.0","54:02.0","1.00","5:02","5:02","166","170","6","4","","","","","","","","","","","","","5:02","","5:02.0","5:02","",""
"11","1:35.0","55:37.0","0.31","5:08","5:08","169","172","6","","","","","","","","","","","","","","5:08","","1:35.0","5:08","",""
"统计","55:47.0","55:47.0","10.33","5:24","5:24","155","172","26.0","","","","","","","","","","","","610","","5:24","","55:47.0","5:24","--","--"
