"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:18.0","4:18.0","1.00","4:17","4:17","164","181","","","","","","","","","","","","","","","4:17","","4:18.0","4:17","",""
"2","4:28.0","8:46.0","1.00","4:29","4:29","185","192","","","","","","","","","","","","","","","4:29","","4:28.0","4:29","",""
"3","4:39.0","13:25.0","1.00","4:39","4:39","186","188","","","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"4","5:18.0","18:43.0","1.00","5:17","5:17","180","188","","","","","","","","","","","","","","","5:17","","5:18.0","5:17","",""
"5","5:41.0","24:24.0","1.00","5:41","5:41","181","191","","","","","","","","","","","","","","","5:41","","5:41.0","5:41","",""
"6","6:15.0","30:39.0","1.00","6:15","6:15","164","181","","","","","","","","","","","","","","","6:15","","6:15.0","6:15","",""
"7","5:43.0","36:22.0","1.00","5:43","5:43","179","189","","","","","","","","","","","","","","","5:43","","5:43.0","5:43","",""
"8","6:25.0","42:47.0","1.00","6:25","6:25","169","184","","","","","","","","","","","","","","","6:25","","6:25.0","6:25","",""
"9","5:29.0","48:16.0","1.00","5:29","5:29","185","188","","","","","","","","","","","","","","","5:29","","5:29.0","5:29","",""
"10","5:21.0","53:37.0","1.00","5:22","5:22","186","189","","","","","","","","","","","","","","","5:22","","5:21.0","5:22","",""
"11","1:05.0","54:42.0","0.20","5:29","5:29","182","188","","","","","","","","","","","","","","","5:29","","1:05.0","5:29","",""
"统计","54:52.0","54:52.0","10.21","5:22","5:22","178","192","","","","","","","","","","","","","664","","5:22","","54:52.0","5:22","--","--"
