"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:48.0","6:48.0","1.00","6:46","6:46","127","140","","","","","","","","","","","","","","","6:46","","6:48.0","6:46","",""
"2","6:56.0","13:44.0","1.00","6:56","6:56","139","146","","","","","","","","","","","","","","","6:56","","6:56.0","6:56","",""
"3","6:38.0","20:22.0","1.00","6:38","6:38","146","151","","","","","","","","","","","","","","","6:38","","6:38.0","6:38","",""
"4","6:41.0","27:03.0","1.01","6:38","6:38","151","156","","","","","","","","","","","","","","","6:38","","6:41.0","6:38","",""
"5","6:38.0","33:41.0","0.99","6:40","6:40","157","160","","","","","","","","","","","","","","","6:40","","6:38.0","6:40","",""
"6","6:41.0","40:22.0","0.99","6:43","6:43","161","165","","","","","","","","","","","","","","","6:43","","6:41.0","6:43","",""
"7","6:39.0","47:01.0","1.00","6:37","6:37","162","166","","","","","","","","","","","","","","","6:37","","6:39.0","6:37","",""
"8","6:44.0","53:45.0","1.01","6:41","6:41","164","167","","","","","","","","","","","","","","","6:41","","6:44.0","6:41","",""
"9","5:39.0","59:24.0","0.85","6:39","6:39","163","167","","","","","","","","","","","","","","","6:39","","5:39.0","6:39","",""
"统计","59:42.0","59:42.0","10.01","5:57","5:57","152","167","","","","","","","","","","","","","619","","5:57","","59:42.0","5:57","--","--"
