"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","8:18.0","8:18.0","1.00","8:15","8:15","108","124","","","","","","","","","","","","","","","8:15","","8:18.0","8:15","",""
"2","6:37.0","14:55.0","1.00","6:38","6:38","123","128","","","","","","","","","","","","","","","6:38","","6:37.0","6:38","",""
"3","6:46.0","21:41.0","1.00","6:46","6:46","127","133","","","","","","","","","","","","","","","6:46","","6:46.0","6:46","",""
"4","6:53.0","28:34.0","1.00","6:54","6:54","128","135","","","","","","","","","","","","","","","6:54","","6:53.0","6:54","",""
"5","7:00.0","35:34.0","1.00","6:59","6:59","131","136","","","","","","","","","","","","","","","6:59","","7:00.0","6:59","",""
"6","7:01.0","42:35.0","0.99","7:03","7:03","133","138","","","","","","","","","","","","","","","7:03","","7:01.0","7:03","",""
"7","7:04.0","49:39.0","1.00","7:05","7:05","136","141","","","","","","","","","","","","","","","7:05","","7:04.0","7:05","",""
"8","7:11.0","56:50.0","1.00","7:12","7:12","136","142","","","","","","","","","","","","","","","7:12","","7:11.0","7:12","",""
"9","6:40.0","63:30.0","1.00","6:40","6:40","147","178","","","","","","","","","","","","","","","6:40","","6:40.0","6:40","",""
"10","5:30.0","69:00.0","0.43","12:40","12:40","122","179","","","","","","","","","","","","","","","12:40","","5:30.0","12:40","",""
"统计","69:21.0","69:21.0","10.00","6:56","6:56","128","179","","","","","","","","","","","","","555","","6:56","","69:21.0","6:56","--","--"
