"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:20.0","6:20.0","1.00","6:18","6:18","104","124","","","","","","","","","","","","","","","6:18","","6:20.0","6:18","",""
"2","5:31.0","11:51.0","0.99","5:33","5:33","121","127","","","","","","","","","","","","","","","5:33","","5:31.0","5:33","",""
"3","6:23.0","18:14.0","1.00","6:21","6:21","126","153","","","","","","","","","","","","","","","6:21","","6:23.0","6:21","",""
"4","5:21.0","23:35.0","1.00","5:21","5:21","160","165","","","","","","","","","","","","","","","5:21","","5:21.0","5:21","",""
"5","5:19.0","28:54.0","1.00","5:19","5:19","167","170","","","","","","","","","","","","","","","5:19","","5:19.0","5:19","",""
"6","5:17.0","34:11.0","1.00","5:17","5:17","170","173","","","","","","","","","","","","","","","5:17","","5:17.0","5:17","",""
"7","5:16.0","39:27.0","1.00","5:16","5:16","173","176","","","","","","","","","","","","","","","5:16","","5:16.0","5:16","",""
"8","5:14.0","44:41.0","1.00","5:15","5:15","175","179","","","","","","","","","","","","","","","5:15","","5:14.0","5:15","",""
"9","5:15.0","49:56.0","1.01","5:12","5:12","178","182","","","","","","","","","","","","","","","5:12","","5:15.0","5:12","",""
"10","5:12.0","55:08.0","1.00","5:12","5:12","180","183","","","","","","","","","","","","","","","5:12","","5:12.0","5:12","",""
"11","5:14.0","60:22.0","1.00","5:14","5:14","183","186","","","","","","","","","","","","","","","5:14","","5:14.0","5:14","",""
"12","6:15.0","66:37.0","0.89","7:00","7:00","173","186","","","","","","","","","","","","","","","7:00","","6:15.0","7:00","",""
"统计","67:02.0","67:02.0","13.19","5:04","5:04","158","186","","","","","","","","","","","","","756","","5:04","","67:02.0","5:04","--","--"
