"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:05.0","6:05.0","1.00","6:04","6:04","132","149","","","","","","","","","","","","","","","6:04","","6:05.0","6:04","",""
"2","5:47.0","11:52.0","0.99","5:48","5:48","152","156","","","","","","","","","","","","","","","5:48","","5:47.0","5:48","",""
"3","5:54.0","17:46.0","1.00","5:54","5:54","157","161","","","","","","","","","","","","","","","5:54","","5:54.0","5:54","",""
"4","5:54.0","23:40.0","1.00","5:54","5:54","163","167","","","","","","","","","","","","","","","5:54","","5:54.0","5:54","",""
"5","5:49.0","29:29.0","1.00","5:50","5:50","169","175","","","","","","","","","","","","","","","5:50","","5:49.0","5:50","",""
"6","5:52.0","35:21.0","0.99","5:53","5:53","173","177","","","","","","","","","","","","","","","5:53","","5:52.0","5:53","",""
"7","5:55.0","41:16.0","1.00","5:55","5:55","177","181","","","","","","","","","","","","","","","5:55","","5:55.0","5:55","",""
"8","5:52.0","47:08.0","1.00","5:53","5:53","178","182","","","","","","","","","","","","","","","5:53","","5:52.0","5:53","",""
"9","5:48.0","52:56.0","1.00","5:46","5:46","181","185","","","","","","","","","","","","","","","5:46","","5:48.0","5:46","",""
"10","5:55.0","58:51.0","1.00","5:56","5:56","183","188","","","","","","","","","","","","","","","5:56","","5:55.0","5:56","",""
"11","0:57.0","59:48.0","0.16","5:59","5:59","183","184","","","","","","","","","","","","","","","5:59","","0:57.0","5:59","",""
"统计","60:12.0","60:12.0","10.01","6:00","6:00","167","188","","","","","","","","","","","","","654","","6:00","","60:12.0","6:00","--","--"
