"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:23.0","6:23.0","1.01","6:20","6:20","129","146","","","","","","","","","","","","","","","6:20","","6:23.0","6:20","",""
"2","6:10.0","12:33.0","0.99","6:12","6:12","146","149","","","","","","","","","","","","","","","6:12","","6:10.0","6:12","",""
"3","6:08.0","18:41.0","1.00","6:09","6:09","150","155","","","","","","","","","","","","","","","6:09","","6:08.0","6:09","",""
"4","6:13.0","24:54.0","1.00","6:13","6:13","155","161","","","","","","","","","","","","","","","6:13","","6:13.0","6:13","",""
"5","6:10.0","31:04.0","1.00","6:10","6:10","160","164","","","","","","","","","","","","","","","6:10","","6:10.0","6:10","",""
"6","6:04.0","37:08.0","0.99","6:06","6:06","162","167","","","","","","","","","","","","","","","6:06","","6:04.0","6:06","",""
"7","6:02.0","43:10.0","1.00","6:01","6:01","165","169","","","","","","","","","","","","","","","6:01","","6:02.0","6:01","",""
"8","6:01.0","49:11.0","1.01","5:59","5:59","166","170","","","","","","","","","","","","","","","5:59","","6:01.0","5:59","",""
"9","5:59.0","55:10.0","1.00","6:00","6:00","167","172","","","","","","","","","","","","","","","6:00","","5:59.0","6:00","",""
"10","4:31.0","59:41.0","0.76","5:54","5:54","168","170","","","","","","","","","","","","","","","5:54","","4:31.0","5:54","",""
"统计","60:03.0","60:03.0","10.01","5:59","5:59","156","172","","","","","","","","","","","","","628","","5:59","","60:03.0","5:59","--","--"
