"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:41.0","6:41.0","1.00","6:39","6:39","114","128","","","","","","","","","","","","","","","6:39","","6:41.0","6:39","",""
"2","6:10.0","12:51.0","0.99","6:12","6:12","127","134","","","","","","","","","","","","","","","6:12","","6:10.0","6:12","",""
"3","8:07.0","20:58.0","1.00","8:08","8:08","132","169","","","","","","","","","","","","","","","8:08","","8:07.0","8:08","",""
"4","6:57.0","27:55.0","1.00","6:56","6:56","148","177","","","","","","","","","","","","","","","6:56","","6:57.0","6:56","",""
"5","6:56.0","34:51.0","1.00","6:56","6:56","158","183","","","","","","","","","","","","","","","6:56","","6:56.0","6:56","",""
"6","6:56.0","41:47.0","0.99","6:59","6:59","164","188","","","","","","","","","","","","","","","6:59","","6:56.0","6:59","",""
"7","7:03.0","48:50.0","0.99","7:06","7:06","164","189","","","","","","","","","","","","","","","7:06","","7:03.0","7:06","",""
"8","9:21.0","58:11.0","0.99","9:24","9:24","162","191","","","","","","","","","","","","","","","9:24","","9:21.0","9:24","",""
"9","5:05.0","63:16.0","0.75","6:48","6:48","170","191","","","","","","","","","","","","","","","6:48","","5:05.0","6:48","",""
"统计","63:35.0","63:35.0","9.88","6:26","6:26","148","191","","","","","","","","","","","","","532","","6:26","","63:35.0","6:26","--","--"
