"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:04.0","4:04.0","1.00","4:03","4:03","96","106","1","7","","","","","","","","","","","","","4:03","","4:04.0","4:03","",""
"2","3:45.0","7:49.0","1.00","3:45","3:45","105","118","3","4","","","","","","","","","","","","","3:45","","3:45.0","3:45","",""
"3","4:16.0","12:05.0","1.00","4:16","4:16","102","111","2","2","","","","","","","","","","","","","4:16","","4:16.0","4:16","",""
"4","3:27.0","15:32.0","1.00","3:27","3:27","109","115","4","3","","","","","","","","","","","","","3:27","","3:27.0","3:27","",""
"5","5:02.0","20:34.0","1.00","5:02","5:02","104","120","2","3","","","","","","","","","","","","","5:02","","5:02.0","5:02","",""
"6","3:52.0","24:26.0","1.00","3:52","3:52","99","110","2","2","","","","","","","","","","","","","3:52","","3:52.0","3:52","",""
"7","4:31.0","28:57.0","0.77","5:51","5:51","103","116","7","6","","","","","","","","","","","","","5:51","","4:31.0","5:51","",""
"统计","29:03.0","29:03.0","6.79","4:16","4:16","103","120","15.0","","","","","","","","","","","","96","","4:16","","29:03.0","4:16","--","--"
