"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:36.0","5:36.0","1.00","5:35","5:35","142","165","9","18","","","","","","","","","","","","","5:35","","5:36.0","5:35","",""
"2","5:18.0","10:54.0","1.00","5:19","5:19","156","168","7","4","","","","","","","","","","","","","5:19","","5:18.0","5:19","",""
"3","5:17.0","16:11.0","1.00","5:17","5:17","165","170","4","9","","","","","","","","","","","","","5:17","","5:17.0","5:17","",""
"4","5:13.0","21:24.0","1.00","5:13","5:13","168","172","4","10","","","","","","","","","","","","","5:13","","5:13.0","5:13","",""
"5","5:11.0","26:35.0","1.00","5:11","5:11","171","174","4","7","","","","","","","","","","","","","5:11","","5:11.0","5:11","",""
"6","5:16.0","31:51.0","1.00","5:16","5:16","171","176","5","8","","","","","","","","","","","","","5:16","","5:16.0","5:16","",""
"7","5:12.0","37:03.0","1.00","5:12","5:12","174","177","5","6","","","","","","","","","","","","","5:12","","5:12.0","5:12","",""
"8","5:09.0","42:12.0","1.00","5:09","5:09","175","179","4","4","","","","","","","","","","","","","5:09","","5:09.0","5:09","",""
"9","5:11.0","47:23.0","1.00","5:11","5:11","174","178","4","6","","","","","","","","","","","","","5:11","","5:11.0","5:11","",""
"10","5:13.0","52:36.0","1.00","5:13","5:13","175","179","7","7","","","","","","","","","","","","","5:13","","5:13.0","5:13","",""
"11","5:12.0","57:48.0","1.00","5:12","5:12","175","180","7","8","","","","","","","","","","","","","5:12","","5:12.0","5:12","",""
"12","5:09.0","62:57.0","1.00","5:09","5:09","178","183","7","6","","","","","","","","","","","","","5:09","","5:09.0","5:09","",""
"13","5:09.0","68:06.0","1.00","5:09","5:09","178","185","5","5","","","","","","","","","","","","","5:09","","5:09.0","5:09","",""
"14","4:58.0","73:04.0","0.99","5:01","5:01","183","188","5","4","","","","","","","","","","","","","5:01","","4:58.0","5:01","",""
"统计","73:17.0","73:17.0","14.01","5:13","5:13","170","188","24.0","","","","","","","","","","","","874","","5:13","","73:17.0","5:13","--","--"
