"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:25.0","5:25.0","1.00","5:24","5:24","142","154","5","5","","","","","","","","","","","","","5:24","","5:25.0","5:24","",""
"2","3:16.0","8:41.0","0.62","5:15","5:15","157","160","2","3","","","","","","","","","","","","","5:15","","3:16.0","5:15","",""
"统计","8:42.0","8:42.0","1.63","5:20","5:20","148","160","1.0","","","","","","","","","","","","94","","5:20","","8:42.0","5:20","--","--"
