"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","7:04.0","7:04.0","1.01","7:00","7:00","114","131","","","","","","","","","","","","","","","7:00","","7:04.0","7:00","",""
"2","5:57.0","13:01.0","1.01","5:54","5:54","131","155","","","","","","","","","","","","","","","5:54","","5:57.0","5:54","",""
"3","4:46.0","17:47.0","0.99","4:48","4:48","162","168","","","","","","","","","","","","","","","4:48","","4:46.0","4:48","",""
"4","4:47.0","22:34.0","1.01","4:45","4:45","171","174","","","","","","","","","","","","","","","4:45","","4:47.0","4:45","",""
"5","5:07.0","27:41.0","1.00","5:06","5:06","174","178","","","","","","","","","","","","","","","5:06","","5:07.0","5:06","",""
"6","5:39.0","33:20.0","1.00","5:39","5:39","160","177","","","","","","","","","","","","","","","5:39","","5:39.0","5:39","",""
"7","4:43.0","38:03.0","0.99","4:44","4:44","179","182","","","","","","","","","","","","","","","4:44","","4:43.0","4:44","",""
"8","4:42.0","42:45.0","1.00","4:41","4:41","183","186","","","","","","","","","","","","","","","4:41","","4:42.0","4:41","",""
"9","5:34.0","48:19.0","0.99","5:37","5:37","180","185","","","","","","","","","","","","","","","5:37","","5:34.0","5:37","",""
"10","0:28.0","48:47.0","0.04","12:55","12:55","142","147","","","","","","","","","","","","","","","12:55","","0:28.0","12:55","",""
"统计","49:04.0","49:04.0","9.30","5:16","5:16","158","186","","","","","","","","","","","","","549","","5:16","","49:04.0","5:16","--","--"
