"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:06.0","6:06.0","1.00","6:05","6:05","118","133","","","","","","","","","","","","","","","6:05","","6:06.0","6:05","",""
"2","5:49.0","11:55.0","1.00","5:49","5:49","129","133","","","","","","","","","","","","","","","5:49","","5:49.0","5:49","",""
"3","5:47.0","17:42.0","1.00","5:47","5:47","131","137","","","","","","","","","","","","","","","5:47","","5:47.0","5:47","",""
"4","5:52.0","23:34.0","1.00","5:52","5:52","135","139","","","","","","","","","","","","","","","5:52","","5:52.0","5:52","",""
"5","6:07.0","29:41.0","1.00","6:07","6:07","134","140","","","","","","","","","","","","","","","6:07","","6:07.0","6:07","",""
"6","6:11.0","35:52.0","1.00","6:11","6:11","135","139","","","","","","","","","","","","","","","6:11","","6:11.0","6:11","",""
"7","6:07.0","41:59.0","1.00","6:07","6:07","136","140","","","","","","","","","","","","","","","6:07","","6:07.0","6:07","",""
"8","6:20.0","48:19.0","1.00","6:20","6:20","136","143","","","","","","","","","","","","","","","6:20","","6:20.0","6:20","",""
"9","5:56.0","54:15.0","1.00","5:56","5:56","137","141","","","","","","","","","","","","","","","5:56","","5:56.0","5:56","",""
"10","5:51.0","60:06.0","1.00","5:51","5:51","136","140","","","","","","","","","","","","","","","5:51","","5:51.0","5:51","",""
"11","5:18.0","65:24.0","0.98","5:23","5:23","153","177","","","","","","","","","","","","","","","5:23","","5:18.0","5:23","",""
"统计","65:34.0","65:34.0","11.00","5:57","5:57","134","177","","","","","","","","","","","","","493","","5:57","","65:34.0","5:57","--","--"
