"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:57.0","6:57.0","1.01","6:54","6:54","125","131","","","","","","","","","","","","","","","6:54","","6:57.0","6:54","",""
"2","6:36.0","13:33.0","1.00","6:36","6:36","130","135","","","","","","","","","","","","","","","6:36","","6:36.0","6:36","",""
"3","6:39.0","20:12.0","1.00","6:37","6:37","130","134","","","","","","","","","","","","","","","6:37","","6:39.0","6:37","",""
"4","6:32.0","26:44.0","0.99","6:34","6:34","134","138","","","","","","","","","","","","","","","6:34","","6:32.0","6:34","",""
"5","6:46.0","33:30.0","1.00","6:45","6:45","135","140","","","","","","","","","","","","","","","6:45","","6:46.0","6:45","",""
"6","6:38.0","40:08.0","1.00","6:38","6:38","135","141","","","","","","","","","","","","","","","6:38","","6:38.0","6:38","",""
"7","6:36.0","46:44.0","0.99","6:38","6:38","138","144","","","","","","","","","","","","","","","6:38","","6:36.0","6:38","",""
"8","6:36.0","53:20.0","0.99","6:38","6:38","140","147","","","","","","","","","","","","","","","6:38","","6:36.0","6:38","",""
"9","6:30.0","59:50.0","0.99","6:32","6:32","145","151","","","","","","","","","","","","","","","6:32","","6:30.0","6:32","",""
"10","5:59.0","65:49.0","0.84","7:06","7:06","170","188","","","","","","","","","","","","","","","7:06","","5:59.0","7:06","",""
"统计","66:07.0","66:07.0","10.20","6:28","6:28","138","188","","","","","","","","","","","","","570","","6:28","","66:07.0","6:28","--","--"
