"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:55.0","5:55.0","1.00","5:54","5:54","128","142","","","","","","","","","","","","","","","5:54","","5:55.0","5:54","",""
"2","5:29.0","11:24.0","1.00","5:29","5:29","143","163","","","","","","","","","","","","","","","5:29","","5:29.0","5:29","",""
"3","4:33.0","15:57.0","1.00","4:33","4:33","171","177","","","","","","","","","","","","","","","4:33","","4:33.0","4:33","",""
"4","5:59.0","21:56.0","1.00","5:59","5:59","163","180","","","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"5","4:38.0","26:34.0","1.00","4:38","4:38","178","183","","","","","","","","","","","","","","","4:38","","4:38.0","4:38","",""
"6","6:06.0","32:40.0","1.00","6:06","6:06","170","184","","","","","","","","","","","","","","","6:06","","6:06.0","6:06","",""
"7","4:34.0","37:14.0","1.00","4:34","4:34","180","185","","","","","","","","","","","","","","","4:34","","4:34.0","4:34","",""
"8","6:04.0","43:18.0","1.00","6:04","6:04","174","186","","","","","","","","","","","","","","","6:04","","6:04.0","6:04","",""
"9","4:37.0","47:55.0","1.00","4:37","4:37","182","188","","","","","","","","","","","","","","","4:37","","4:37.0","4:37","",""
"10","5:39.0","53:34.0","0.91","6:11","6:11","179","189","","","","","","","","","","","","","","","6:11","","5:39.0","6:11","",""
"统计","53:43.0","53:43.0","9.93","5:24","5:24","166","189","","","","","","","","","","","","","608","","5:24","","53:43.0","5:24","--","--"
