"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","7:00.0","7:00.0","1.00","6:59","6:59","123","134","","","","","","","","","","","","","","","6:59","","7:00.0","6:59","",""
"2","5:37.0","12:37.0","1.00","5:38","5:38","155","166","","","","","","","","","","","","","","","5:38","","5:37.0","5:38","",""
"3","5:35.0","18:12.0","1.00","5:35","5:35","168","173","","","","","","","","","","","","","","","5:35","","5:35.0","5:35","",""
"4","5:35.0","23:47.0","1.00","5:34","5:34","173","177","","","","","","","","","","","","","","","5:34","","5:35.0","5:34","",""
"5","5:37.0","29:24.0","1.00","5:35","5:35","177","180","","","","","","","","","","","","","","","5:35","","5:37.0","5:35","",""
"6","5:34.0","34:58.0","0.99","5:36","5:36","181","183","","","","","","","","","","","","","","","5:36","","5:34.0","5:36","",""
"7","5:36.0","40:34.0","1.00","5:37","5:37","184","186","","","","","","","","","","","","","","","5:37","","5:36.0","5:37","",""
"8","5:37.0","46:11.0","1.00","5:37","5:37","187","190","","","","","","","","","","","","","","","5:37","","5:37.0","5:37","",""
"9","5:32.0","51:43.0","0.99","5:33","5:33","189","191","","","","","","","","","","","","","","","5:33","","5:32.0","5:33","",""
"10","3:29.0","55:12.0","0.32","10:51","10:51","168","190","","","","","","","","","","","","","","","10:51","","3:29.0","10:51","",""
"统计","55:32.0","55:32.0","11.20","4:57","4:57","169","191","","","","","","","","","","","","","647","","4:57","","55:32.0","4:57","--","--"
